tipo,step,semaforo_id,queue_length,veh_id,delay,waiting_time,stops,pos_x,pos_y,speed
vehiculo,10,308495742,,veh5,0.9331982146310267,0.0,1.0,1497.876416253153,1195.4903957385109,2.142838679091074
semaforo,10,308495742,0.0,,,,,,,
semaforo,10,308512653,0.0,,,,,,,
semaforo,10,308512659,0.0,,,,,,,
semaforo,10,308512668,0.0,,,,,,,
semaforo,10,308512669,0.0,,,,,,,
semaforo,10,308512670,0.0,,,,,,,
semaforo,10,308512701,0.0,,,,,,,
semaforo,10,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,10,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,11,joinedS_308495840_308495841,,truck1,2.2704817678969142,0.0,0.0,1967.9949691626248,326.4726568674787,8.017223170866052
vehiculo,11,308512670,,truck2,1.7705141526947088,0.0,1.0,1463.7102817575405,696.5515737735493,1.930754431290552
vehiculo,11,308495742,,veh1,3.5220850691685293,0.0,0.0,2103.3191320072406,1257.7219907987385,13.064703981836074
vehiculo,11,308512659,,veh2,3.0559022914456335,0.0,1.0,184.4466956712751,450.2609855058315,11.51577982017383
vehiculo,11,joinedS_308495840_308495841,,veh3,2.3498810643730295,0.0,0.0,1854.1908746645472,50.01787914010583,8.97738343026687
vehiculo,11,joinedS_308495840_308495841,,veh4,2.6323097014962276,0.0,1.0,2042.172903098206,251.79736459146682,7.660432175220922
vehiculo,11,308495742,,veh5,1.8101901797206548,0.0,1.0,1501.497352397002,1197.0563046152358,3.9457983583677563
vehiculo,11,joinedS_308495840_308495841,,veh6,0.0,0.0,1.0,1569.6679185432247,119.86932477390788,0.0
semaforo,11,308495742,0.0,,,,,,,
semaforo,11,308512653,0.0,,,,,,,
semaforo,11,308512659,0.0,,,,,,,
semaforo,11,308512668,0.0,,,,,,,
semaforo,11,308512669,0.0,,,,,,,
semaforo,11,308512670,0.0,,,,,,,
semaforo,11,308512701,0.0,,,,,,,
semaforo,11,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,11,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,12,joinedS_308495840_308495841,,truck1,2.6831235321944327,0.0,0.0,1959.5786951735363,324.17414778030087,8.725415103534031
vehiculo,12,308512670,,truck2,2.560039643762332,0.0,1.0,1466.6365886600147,696.2836866370889,2.9386930819018744
vehiculo,12,308495742,,veh1,3.5292642120095294,0.0,0.0,2089.6039842657897,1254.126089448268,14.179167650045969
vehiculo,12,308512659,,veh2,3.1016553049406035,0.0,1.0,196.59435746249812,449.3677421244978,12.18087690050792
vehiculo,12,joinedS_308495840_308495841,,veh3,2.5521376111110374,0.0,0.0,1843.5782859234537,50.905845444783736,10.649619025399094
vehiculo,12,joinedS_308495840_308495841,,veh4,2.999725064816495,0.0,1.0,2033.1796725472373,250.3090512550685,9.161788449250162
vehiculo,12,308495742,,veh5,2.642088822504453,0.0,1.0,1506.4401721872223,1199.2067373857979,5.392282380792313
vehiculo,12,joinedS_308495840_308495841,,veh6,0.9248972429164191,0.0,1.0,1567.4718451641256,120.07212979600303,2.2038163552992045
vehiculo,12,308512668,,veh7,0.0,0.0,1.0,1869.7959544159544,969.6815954415954,0.0
semaforo,12,308495742,0.0,,,,,,,
semaforo,12,308512653,0.0,,,,,,,
semaforo,12,308512659,0.0,,,,,,,
semaforo,12,308512668,0.0,,,,,,,
semaforo,12,308512669,0.0,,,,,,,
semaforo,12,308512670,0.0,,,,,,,
semaforo,12,308512701,0.0,,,,,,,
semaforo,12,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,12,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,13,joinedS_308495840_308495841,,truck1,3.0646262637900286,0.0,0.0,1950.7162290396127,321.75378231096863,9.187996488677701
vehiculo,13,308512670,,truck2,3.278485458734769,0.0,1.0,1470.5511432502399,695.9253309161608,3.9311237257090395
vehiculo,13,308495742,,veh1,3.572726328247711,0.0,0.0,2076.3940496497976,1250.6555059307561,13.660985181445398
vehiculo,13,308512659,,veh2,3.1316006267181553,0.0,1.0,208.94365292289712,448.46271101510683,12.382660662588515
vehiculo,13,joinedS_308495840_308495841,,veh3,2.6483222312720276,0.0,0.0,1831.5545947419273,51.91188015389357,12.065645196113852
vehiculo,13,joinedS_308495840_308495841,,veh4,3.2503263144852426,0.0,1.0,2022.358871565257,249.46649722977529,10.853619289118797
vehiculo,13,308495742,,veh5,3.40449851633379,0.0,1.0,1513.3773047590232,1202.349575725247,7.621318727149628
vehiculo,13,joinedS_308495840_308495841,,veh6,1.7804021735953341,0.0,1.0,1563.2466770415501,120.46231954221554,4.2400653370888906
vehiculo,13,308512668,,veh7,0.8957764758868016,0.0,1.0,1869.4451216625305,970.9356648643916,1.3021744425641373
semaforo,13,308495742,0.0,,,,,,,
semaforo,13,308512653,0.0,,,,,,,
semaforo,13,308512659,0.0,,,,,,,
