tipo,step,semaforo_id,queue_length,veh_id,delay,waiting_time,stops,pos_x,pos_y,speed
vehiculo,10,308495742,,veh5,0.9315634359025253,0.0,1.0,1498.218685256365,1195.6384132812304,2.5158152844058352
semaforo,10,308495742,0.0,,,,,,,
semaforo,10,308512653,0.0,,,,,,,
semaforo,10,308512659,0.0,,,,,,,
semaforo,10,308512668,0.0,,,,,,,
semaforo,10,308512669,0.0,,,,,,,
semaforo,10,308512670,0.0,,,,,,,
semaforo,10,308512701,0.0,,,,,,,
semaforo,10,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,10,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,11,joinedS_308495840_308495841,,truck1,2.1184193553099053,0.0,0.0,1969.2535889904786,326.81638963038245,7.860919937900953
vehiculo,11,308512670,,truck2,1.8241892152331758,0.0,1.0,1462.9764187785281,696.6187548514587,1.7893045240663923
vehiculo,11,308495742,,veh1,3.161738329150962,0.0,0.0,2101.141285831906,1257.151341944469,13.780931967655011
vehiculo,11,308512659,,veh2,3.6859501516269404,0.0,1.0,182.57774383375906,450.3994263826845,13.23579264273867
vehiculo,11,joinedS_308495840_308495841,,veh3,2.1089588581599727,0.0,0.0,1856.2560537058257,49.84508346823724,8.621177888271689
vehiculo,11,joinedS_308495840_308495841,,veh4,2.6948665286975046,0.0,1.0,2040.581047905535,251.2612450749517,8.582788008917122
vehiculo,11,308495742,,veh5,1.8145554313772063,0.0,1.0,1502.1659122758213,1197.3454298047654,4.3013633145485075
vehiculo,11,joinedS_308495840_308495841,,veh6,0.0,0.0,1.0,1569.6679185432247,119.86932477390788,0.0
semaforo,11,308495742,0.0,,,,,,,
semaforo,11,308512653,0.0,,,,,,,
semaforo,11,308512659,0.0,,,,,,,
semaforo,11,308512668,0.0,,,,,,,
semaforo,11,308512669,0.0,,,,,,,
semaforo,11,308512670,0.0,,,,,,,
semaforo,11,308512701,0.0,,,,,,,
semaforo,11,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,11,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,12,joinedS_308495840_308495841,,truck1,2.4826500735133656,0.0,0.0,1960.7066687538502,324.4822006701913,8.860860164256055
vehiculo,12,308512670,,truck2,2.640823840457662,0.0,1.0,1465.5387517811564,696.3841875030539,2.573178589704912
vehiculo,12,308495742,,veh1,3.1946261022030757,0.0,0.0,2088.2457612647604,1253.7692499560594,13.332439916063846
vehiculo,12,308512659,,veh2,3.7330544511862307,0.0,1.0,196.47681682888194,449.3763562134862,13.937214506914914
vehiculo,12,joinedS_308495840_308495841,,veh3,2.210585299449395,0.0,0.0,1845.942448551875,50.70803350614825,10.349592201068356
vehiculo,12,joinedS_308495840_308495841,,veh4,3.0391431772604403,0.0,1.0,2029.868543969866,250.05123256717533,10.798441659891976
vehiculo,12,308495742,,veh5,2.642028223220981,0.0,1.0,1507.9667673115473,1199.8991090682903,6.3423199714859955
vehiculo,12,joinedS_308495840_308495841,,veh6,0.9513993318105403,0.0,1.0,1568.1839611230798,120.00636665067076,1.4891895982204006
vehiculo,12,308512668,,veh7,0.0,0.0,1.0,1869.7959544159544,969.6815954415954,0.0
semaforo,12,308495742,0.0,,,,,,,
semaforo,12,308512653,0.0,,,,,,,
semaforo,12,308512659,0.0,,,,,,,
semaforo,12,308512668,0.0,,,,,,,
semaforo,12,308512669,0.0,,,,,,,
semaforo,12,308512670,0.0,,,,,,,
semaforo,12,308512701,0.0,,,,,,,
semaforo,12,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,12,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,13,joinedS_308495840_308495841,,truck1,2.779242285320855,0.0,0.0,1951.2504549485589,321.89968097205195,9.80355331419914
vehiculo,13,308512670,,truck2,3.369138776836369,0.0,1.0,1469.335257013893,696.0366385448449,3.8125747006968593
vehiculo,13,308495742,,veh1,3.24516927920231,0.0,0.0,2075.588882250769,1250.443968115836,13.089045606944525
vehiculo,13,308512659,,veh2,3.759514698335579,0.0,1.0,210.677607203319,448.33563635152984,14.23915792695161
vehiculo,13,joinedS_308495840_308495841,,veh3,2.302150170818271,0.0,0.0,1835.513333476263,51.58064837898253,10.465505169087635
vehiculo,13,joinedS_308495840_308495841,,veh4,3.2955148195567467,0.0,1.0,2017.6595127310902,249.10058497349976,12.246059896610674
vehiculo,13,308495742,,veh5,3.423824517285283,0.0,1.0,1515.27147316265,1203.2065119347264,8.021446221717634
vehiculo,13,joinedS_308495840_308495841,,veh6,1.8306736235389955,0.0,1.0,1564.4977605570007,120.34678332088127,3.6991974738892166
vehiculo,13,308512668,,veh7,0.8165172542200185,0.0,1.0,1869.148247886096,971.9968551946071,2.4040711171692237
semaforo,13,308495742,0.0,,,,,,,
semaforo,13,308512653,0.0,,,,,,,
semaforo,13,308512659,0.0,,,,,,,
semaforo,13,308512668,0.0,,,,,,,
semaforo,13,308512669,0.0,,,,,,,
semaforo,13,308512670,0.0,,,,,,,
semaforo,13,308512701,0.0,,,,,,,
semaforo,13,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,13,joinedS_308495840_308495841,0.0,,,,,,,
vehiculo,14,joinedS_308495840_308495841,,truck1,3.3628356550345178,0.0,0.0,1945.5824567157583,320.95977796379873,5.8035533141991404
vehiculo,14,308512670,,truck2,4.044316297441162,0.0,1.0,1473.874300221853,695.6211143610274,4.558255616459064
vehiculo,14,308495742,,veh1,3.2942315403381794,0.0,0.0,2062.912261661955,1247.1134996652181,13.109461253876612
vehiculo,14,308512659,,veh2,3.782159539634712,0.0,1.0,224.93405198582076,447.29083779772947,14.294962701535859
vehiculo,14,joinedS_308495840_308495841,,veh3,2.35968908332422,0.0,0.0,1824.6935899128753,52.48594754245074,10.857496668689498
vehiculo,14,joinedS_308495840_308495841,,veh4,3.4481352170020774,0.0,1.0,2003.7303470176128,248.32360798010353,13.954633736796675
vehiculo,14,308495742,,veh5,4.157679172487102,0.0,1.0,1524.1868750837825,1207.2344817157282,9.783841943950392
vehiculo,14,joinedS_308495840_308495841,,veh6,2.6412604464688183,0.0,1.0,1558.7142785585481,120.88088168282414,5.803873559087515
vehiculo,14,308512668,,veh7,1.516294110697494,0.0,1.0,1868.0884398390367,975.7851926656076,3.933654823945835
semaforo,14,308495742,0.0,,,,,,,
semaforo,14,308512653,0.0,,,,,,,
semaforo,14,308512659,0.0,,,,,,,
semaforo,14,308512668,0.0,,,,,,,
semaforo,14,308512669,0.0,,,,,,,
semaforo,14,308512670,0.0,,,,,,,
semaforo,14,308512701,0.0,,,,,,,
semaforo,14,joinedS_308495714_4152158087,0.0,,,,,,,
semaforo,14,joinedS_308495840_308495841,0.0,,,,,,,
